"Group" "ID" "Inducer" "X" "Y" "Cond"
"con" "1_LD" "Thursday" 326 120 "day"
"con" "1_LD" "September" 473 381 "month"
"con" "1_LD" "9" 844 412 "number"
"con" "1_LD" "November" 569 423 "month"
"con" "1_LD" "3" 559 370 "number"
"con" "1_LD" "July" 619 50 "month"
"con" "1_LD" "May" 567 146 "month"
"con" "1_LD" "Wednesday" 366 10 "day"
"con" "1_LD" "Saturday" 105 278 "day"
"con" "1_LD" "8" 509 248 "number"
"con" "1_LD" "January" 475 243 "month"
"con" "1_LD" "1" 444 346 "number"
"con" "1_LD" "Tuesday" 469 180 "day"
"con" "1_LD" "7" 544 418 "number"
"con" "1_LD" "Monday" 320 547 "day"
"con" "1_LD" "6" 531 388 "number"
"con" "1_LD" "February" 612 185 "month"
"con" "1_LD" "August" 616 257 "month"
"con" "1_LD" "March" 608 97 "month"
"con" "1_LD" "Sunday" 258 719 "day"
"con" "1_LD" "4" 546 406 "number"
"con" "1_LD" "October" 776 615 "month"
"con" "1_LD" "April" 704 378 "month"
"con" "1_LD" "Friday" 54 632 "day"
"con" "1_LD" "2" 500 236 "number"
"con" "1_LD" "December" 869 570 "month"
"con" "1_LD" "0" 458 418 "number"
"con" "1_LD" "June" 724 259 "month"
"con" "1_LD" "5" 556 462 "number"
"con" "1_LD" "Wednesday" 292 13 "day"
"con" "1_LD" "July" 880 394 "month"
"con" "1_LD" "Saturday" 179 601 "day"
"con" "1_LD" "2" 513 246 "number"
"con" "1_LD" "7" 546 541 "number"
"con" "1_LD" "1" 436 352 "number"
"con" "1_LD" "Thursday" 260 146 "day"
"con" "1_LD" "Sunday" 246 716 "day"
"con" "1_LD" "August" 875 699 "month"
"con" "1_LD" "6" 549 263 "number"
"con" "1_LD" "5" 575 327 "number"
"con" "1_LD" "June" 912 624 "month"
"con" "1_LD" "Tuesday" 256 384 "day"
"con" "1_LD" "October" 836 351 "month"
"con" "1_LD" "December" 863 693 "month"
"con" "1_LD" "November" 863 623 "month"
"con" "1_LD" "4" 398 496 "number"
