"","ID","group","triangle_area","Consistency","totLineCross","SynQuest","SynCons","SynSD","SynPermzs","SynLine"
"1",28301,"Syn",197.5,0.068738450411623,145,TRUE,TRUE,TRUE,TRUE,TRUE
"2",28307,"Syn",167,0.0337736967652451,248,TRUE,TRUE,TRUE,TRUE,TRUE
"3",28521,"Syn",966,0.0735632566845575,327,TRUE,TRUE,TRUE,TRUE,TRUE
"4",28563,"Syn",122,0.0813975781530282,258,TRUE,TRUE,TRUE,TRUE,TRUE
"5",28740,"Syn",0,0.0476381039252158,442,TRUE,TRUE,TRUE,TRUE,TRUE
"6",28746,"Syn",0,0.0673666902538768,287,TRUE,TRUE,TRUE,TRUE,TRUE
"7",28777,"Syn",4,0.0397825235109718,310,TRUE,TRUE,TRUE,TRUE,TRUE
"8",28779,"Syn",30.5,0.102351844152921,316,TRUE,TRUE,TRUE,TRUE,TRUE
"9",28796,"Syn",73.5,0.544321468298109,335,TRUE,FALSE,TRUE,TRUE,TRUE
"10",28803,"Syn",5796,1.47371622984146,953,FALSE,FALSE,TRUE,TRUE,FALSE
"11",29027,"Syn",0,0,2498,TRUE,TRUE,FALSE,FALSE,FALSE
"12",29043,"Syn",1224,0.151459139670513,387,TRUE,TRUE,TRUE,TRUE,TRUE
"13",29048,"Syn",104,0.0923202858929332,395,TRUE,TRUE,TRUE,TRUE,TRUE
"14",29053,"Syn",180,0.0960737102644546,389,TRUE,TRUE,TRUE,TRUE,TRUE
"15",29058,"Syn",202.5,0.031267966575636,337,TRUE,TRUE,TRUE,TRUE,TRUE
"16",29063,"Syn",1.5,0.0462272016735781,290,TRUE,TRUE,TRUE,TRUE,TRUE
"17",29104,"Syn",301.5,0.102013781723513,906,TRUE,TRUE,TRUE,TRUE,FALSE
"18",29119,"Syn",1391.5,0.0785710089187454,451,TRUE,TRUE,TRUE,TRUE,TRUE
"19",29123,"Syn",38,0.164440932174717,322,TRUE,TRUE,TRUE,TRUE,TRUE
"20",29128,"Syn",155,0.126551279930397,299,TRUE,TRUE,TRUE,TRUE,TRUE
"21",29134,"Syn",56,0.589078826812685,497,FALSE,FALSE,TRUE,TRUE,TRUE
"22",29147,"Syn",5,0.0471132346827564,358,TRUE,TRUE,TRUE,TRUE,TRUE
"23",29151,"Syn",59,0.0166175402371959,273,TRUE,TRUE,TRUE,TRUE,TRUE
"24",29153,"Syn",118.5,0.029334129851159,275,TRUE,TRUE,TRUE,TRUE,TRUE
"25",29154,"Syn",0,0.0313293464221403,338,TRUE,TRUE,TRUE,TRUE,TRUE
"26",29157,"Syn",66,0.19370255487521,380,TRUE,TRUE,TRUE,TRUE,TRUE
"27",29166,"Syn",34.5,0.0881169267657168,328,TRUE,TRUE,TRUE,TRUE,TRUE
"28",29172,"Syn",267.5,0.113993784357821,385,TRUE,TRUE,TRUE,TRUE,TRUE
"29",29180,"Syn",7.5,0.0342504471994858,414,TRUE,TRUE,TRUE,TRUE,TRUE
"30",29189,"Syn",15,0.0359086574051963,386,TRUE,TRUE,TRUE,TRUE,TRUE
"31",29195,"Syn",4427.5,0.198722582933217,316,TRUE,TRUE,TRUE,TRUE,TRUE
"32",29207,"Syn",126,0.0382703112572572,287,TRUE,TRUE,TRUE,TRUE,TRUE
"33",29213,"Syn",18,0.0417872593708677,354,TRUE,TRUE,TRUE,TRUE,TRUE
"34",29216,"Syn",30.5,0.285527077701039,327,TRUE,FALSE,TRUE,TRUE,TRUE
"35",29255,"Syn",573,0.0901259815783543,328,TRUE,TRUE,TRUE,TRUE,TRUE
"36",29289,"Syn",23265,0.164432218189877,457,TRUE,TRUE,TRUE,TRUE,TRUE
"37",29291,"Syn",104,0.074290646900423,316,TRUE,TRUE,TRUE,TRUE,TRUE
"38",29303,"Syn",1,0.120438333675895,258,TRUE,TRUE,TRUE,TRUE,TRUE
"39",29306,"Syn",27,0.173448762906682,179,TRUE,TRUE,TRUE,TRUE,TRUE
"40",29320,"Syn",232.5,0.177005394708306,315,TRUE,TRUE,TRUE,TRUE,TRUE
"41",29324,"Syn",8086.5,2.95215301058961,570,FALSE,FALSE,TRUE,TRUE,FALSE
"42",29332,"Syn",33,0.0642972792221517,313,TRUE,TRUE,TRUE,TRUE,TRUE
"43",29346,"Syn",433,0.0599760157526942,345,TRUE,TRUE,TRUE,TRUE,TRUE
"44",29352,"Syn",65.5,0.0361110866652184,332,TRUE,TRUE,TRUE,TRUE,TRUE
"45",29367,"Syn",42.5,0.0258990224370757,429,TRUE,TRUE,TRUE,TRUE,TRUE
"46",29395,"Syn",3659.5,0.611093445763457,329,FALSE,FALSE,TRUE,TRUE,TRUE
"47",29400,"Syn",12024.5,1.32047635868843,673,FALSE,FALSE,TRUE,TRUE,FALSE
"48",29403,"Syn",302,0.266216014978533,378,TRUE,FALSE,TRUE,TRUE,TRUE
"49",29408,"Syn",147.5,0.063014021006738,589,TRUE,TRUE,TRUE,TRUE,FALSE
"50",29426,"Syn",4.5,0.0357984365642209,751,TRUE,TRUE,TRUE,TRUE,FALSE
"51",29434,"Syn",0,0.163240495137047,388,TRUE,TRUE,TRUE,TRUE,TRUE
"52",29436,"Syn",465,0.0358929582235255,318,TRUE,TRUE,TRUE,TRUE,TRUE
"53",29457,"Syn",451.5,0.113284409234615,294,TRUE,TRUE,TRUE,TRUE,TRUE
"54",29463,"Syn",824.5,0.140466464669702,341,TRUE,TRUE,TRUE,TRUE,TRUE
"55",29485,"Syn",141,0.198626953822439,318,TRUE,TRUE,TRUE,TRUE,TRUE
"56",29489,"Syn",1697.44873046875,0.434584723763568,415,TRUE,FALSE,TRUE,TRUE,TRUE
"57",29497,"Syn",39,0.0815134356828031,427,TRUE,TRUE,TRUE,TRUE,TRUE
"58",29514,"Syn",25.5,0.0124680132070918,339,TRUE,TRUE,TRUE,TRUE,TRUE
"59",29526,"Syn",16,0.0637392994409504,393,TRUE,TRUE,TRUE,TRUE,TRUE
"60",29530,"Syn",48,0.433604872256705,218,TRUE,FALSE,TRUE,TRUE,TRUE
"61",29535,"Syn",6.5,0.299855601110779,377,TRUE,FALSE,TRUE,TRUE,TRUE
"62",29544,"Syn",1.5,0.832911522448588,432,TRUE,FALSE,TRUE,TRUE,TRUE
"63",29548,"Syn",288,0.0521525392144154,289,TRUE,TRUE,TRUE,TRUE,TRUE
"64",29571,"Syn",336,0.763477256518693,471,TRUE,FALSE,TRUE,TRUE,TRUE
"65",29578,"Syn",638,0.171170667414753,234,TRUE,TRUE,TRUE,TRUE,TRUE
"66",29599,"Syn",19179,0.25270526217435,397,TRUE,FALSE,TRUE,TRUE,TRUE
"67",29696,"Syn",6.5,0.0126695946914064,676,TRUE,TRUE,FALSE,TRUE,FALSE
"68",29704,"Syn",89.5,0.0636378051252692,270,TRUE,TRUE,TRUE,TRUE,TRUE
"69",29711,"Syn",4,0.0315126817159079,270,TRUE,TRUE,TRUE,TRUE,TRUE
"70",29775,"Syn",2250.5,0.0786713934725144,429,TRUE,TRUE,TRUE,TRUE,TRUE
"71",29784,"Syn",90,0.13525736465456,311,TRUE,TRUE,TRUE,TRUE,TRUE
"72",29818,"Syn",0,0.0382094927035571,345,TRUE,TRUE,TRUE,TRUE,TRUE
"73",29844,"Syn",28.5,0.119072866755688,331,TRUE,TRUE,TRUE,TRUE,TRUE
"74",29851,"Syn",276.5,0.0281113520744847,447,TRUE,TRUE,TRUE,TRUE,TRUE
"75",29863,"Syn",282,0.47189168269024,378,TRUE,FALSE,TRUE,TRUE,TRUE
"76",29864,"Syn",3910,0.108762399622107,333,TRUE,TRUE,TRUE,TRUE,TRUE
"77",29995,"Syn",79.9997255199996,0.114831196802693,316,TRUE,TRUE,TRUE,TRUE,TRUE
"78",30103,"Syn",489,0.977043147860723,339,FALSE,FALSE,TRUE,TRUE,TRUE
"79",30159,"Syn",4,0.0676691430770299,277,TRUE,TRUE,TRUE,TRUE,TRUE
"80",30259,"Syn",745,0.191438325739596,408,TRUE,TRUE,TRUE,TRUE,TRUE
"81",30321,"Syn",158.5,0.257542982084811,430,FALSE,FALSE,TRUE,TRUE,TRUE
"82",30642,"Syn",209,0.0653431835077486,268,TRUE,TRUE,TRUE,TRUE,TRUE
"83",30648,"Syn",577.5,0.321197329936111,345,TRUE,FALSE,TRUE,TRUE,TRUE
"84",30650,"Syn",5,0.212549289045082,352,TRUE,FALSE,TRUE,TRUE,TRUE
"85",30653,"Syn",700,0.115904823398834,318,TRUE,TRUE,TRUE,TRUE,TRUE
"86",30654,"Syn",2.91038304567337e-11,0.0311905958022091,2582,FALSE,TRUE,FALSE,FALSE,FALSE
"87",30658,"Syn",275,0.402859473232997,379,TRUE,FALSE,TRUE,TRUE,TRUE
"88",30662,"Syn",935,0.162429938687726,350,TRUE,TRUE,TRUE,TRUE,TRUE
