"";"n_perm001";"n_perm002";"n_perm003";"n_perm004";"n_perm005";"n_perm006";"n_perm007";"n_perm008";"n_perm009";"n_perm010";"n_perm011";"n_perm012";"n_perm013";"n_perm014";"n_perm015";"n_perm016";"n_perm017";"n_perm018";"n_perm019";"n_perm020";"n_perm021";"n_perm022";"n_perm023";"n_perm024";"n_perm025";"n_perm026";"n_perm027";"n_perm028";"n_perm029";"n_perm030";"n_perm031";"n_perm032";"n_perm033";"n_perm034";"n_perm035";"n_perm036";"n_perm037";"n_perm038";"n_perm039";"n_perm040";"n_perm041";"n_perm042";"n_perm043";"n_perm044";"n_perm045";"n_perm046";"n_perm047";"n_perm048";"n_perm049";"n_perm050";"n_perm051";"n_perm052";"n_perm053";"n_perm054";"n_perm055";"n_perm056";"n_perm057";"n_perm058";"n_perm059";"n_perm060";"n_perm061";"n_perm062";"n_perm063";"n_perm064";"n_perm065";"n_perm066";"n_perm067";"n_perm068";"n_perm069";"n_perm070";"n_perm071";"n_perm072";"n_perm073";"n_perm074";"n_perm075";"n_perm076";"n_perm077";"n_perm078";"n_perm079";"n_perm080";"n_perm081";"n_perm082";"n_perm083";"n_perm084";"n_perm085";"n_perm086";"n_perm087";"n_perm088";"n_perm089";"n_perm090";"n_perm091";"n_perm092";"n_perm093";"n_perm094";"n_perm095";"n_perm096";"n_perm097";"n_perm098";"n_perm099";"n_perm100";"ID";"group"
"1_LD";-0,0219483094566712;0,00423173907433726;-0,0195937194871976;-0,0141947717387512;-0,0312520096566686;-0,0298457314248032;-0,0357997045738917;0,0043190968439298;-0,0184761815127971;-0,026214788536209;-0,00949469867884905;-0,00325231471119241;-0,0066327985650313;-0,00641031135373751;-0,0263697731328585;-0,00237517905270706;-0,0344461833264586;-0,0383487693798008;-0,00956315356488952;-0,016546739651298;-0,0444772233142617;-0,0122153180278007;-0,0105805522684354;-0,00460291516961152;-0,00910148395985065;-0,0118772501469621;-0,0428956386680437;-0,0279816929379216;-0,0282480689847803;-0,0169132411693489;-0,0130923618579601;-0,0393677182148481;-0,0195042876579401;0,0127897662984187;0,00127960789191586;-0,0302358368913967;-0,0296352811776209;0,0196903998545567;-0,00490305449583034;-0,0286704178208887;-0,0197233966107333;-0,0231184646312332;-0,00264992549817129;-0,0142729419775631;-0,019800995031731;-0,00255009409834903;-0,0338107855021987;-0,0178737424531438;-0,0386542468885182;-0,0308691405281525;-0,000960556852394295;-0,0199863913737612;-0,0131295627525113;-0,0102919622186756;-0,019429476033518;-0,0262290259521079;-0,00832234793130595;-0,00786455852163006;-0,0317265071946275;-0,0488109432408986;-0,0193982507743955;-0,0187494735368505;-0,0153674493785013;0,00313906981966418;0,000748317824165965;0,00778577471124964;-0,0405858724209136;-0,0393746557838368;0,00148864486471652;-0,00918232807349285;-0,0365996352498175;0,00938876405379344;-0,0129451708721869;-0,0323878779075418;-0,0279713630016158;-0,0229057999180609;-0,0138194894868983;-0,0164799706890188;-0,00512353221459843;-0,0141931965104072;-0,00984607667586266;-0,0022893297144886;-0,0129141077564229;-0,0345108455498427;-0,000745799765836127;-0,0417891276272204;-0,0105509333473397;-0,00118671078091024;0,00149775377922033;-0,0161831655499296;-0,0364153098885749;-0,0220927062214697;-0,00597885509009953;0,00176315785176435;-0,00247067993072063;-0,00392721992450146;0,00603428224119199;-0,0243941496958485;-0,0128990420535184;-0,00646958480738025;"1_LD";"Ctl"
"10_AS";0,354279650692647;0,35088027314128;0,345689722758126;0,353095271763363;0,345523221172175;0,348878703812472;0,352424915084615;0,361634743318612;0,345952382207214;0,340392290804721;0,353113520979304;0,350610569664214;0,350543862772824;0,359747732037243;0,345912215101491;0,365153813315361;0,346999012418305;0,347616773572203;0,374853125917358;0,342333973094356;0,338859645462155;0,360787079637825;0,343031875834221;0,345764306841945;0,361665815048987;0,352760367337538;0,342550477903079;0,355501995136165;0,377501596129179;0,35685601508552;0,345945434452077;0,339365927295768;0,361390231425426;0,35576863568819;0,359275420184599;0,346094964342298;0,355150163566223;0,353765039519385;0,344149956241175;0,342931559577126;0,342619321827337;0,353129910931896;0,329585653463739;0,343379500131107;0,358418972630112;0,340904775098075;0,363983742426132;0,359235435874278;0,357116876710281;0,346701475576554;0,342011355189516;0,341366618520596;0,371543467887345;0,361768592590112;0,355089365384868;0,34936198186469;0,343047817755535;0,366262741534645;0,354538029519253;0,344828488302375;0,363244636971278;0,36181405142658;0,341609081945266;0,342828672313847;0,360367168344765;0,342999633577502;0,345483520202694;0,352516053785691;0,344468888908376;0,360030368410309;0,35549253290353;0,355034667371527;0,362957022444411;0,371260850171289;0,345556190007173;0,356435041302288;0,357719761569418;0,345059446029783;0,367813755593751;0,35521591797208;0,335075944675984;0,348767039036795;0,34365470798707;0,352277160911097;0,345319708183851;0,369976546475595;0,35348067762306;0,350487921208597;0,348043797760981;0,348335443690448;0,355776016074814;0,350684339418898;0,342154187830924;0,349615110138551;0,352798261512129;0,352558467771758;0,346246476477628;0,352932017839234;0,345122578541902;0,349380544220609;"10_AS";"Syn"
"1025_MaJo";0,112941292051037;0,110823883530595;0,110263141809212;0,109690441697528;0,11146386568691;0,114151487458427;0,109920869143801;0,110933133490226;0,110960039146853;0,112731537568078;0,114078830119511;0,110627007322607;0,111922912043364;0,111936806139946;0,112993921889946;0,11121688776906;0,112643600491305;0,110320034122123;0,112670052088484;0,116128491926266;0,110782340757994;0,109875580962681;0,110614193091681;0,11145455683225;0,110441079534138;0,108229844679636;0,112450132576436;0,113258812054169;0,111104470387182;0,111896238689487;0,112034878815346;0,108127556558431;0,110112458777258;0,110140257994252;0,11499811112174;0,110742450295252;0,112621405517656;0,110526255932216;0,112081646439817;0,111279721004459;0,109916342690499;0,11147007921874;0,112140587660007;0,111847528595621;0,111104716301834;0,109073716838942;0,112143630040989;0,112180794143942;0,107890907906528;0,111723567978339;0,110558662899374;0,110270442153519;0,110969524654191;0,110092423690945;0,111692693174954;0,112201718194353;0,111419262464049;0,109450740596962;0,110241116220567;0,114551999247434;0,111893714029624;0,111517249858911;0,111384643923594;0,110784023358258;0,110342207775073;0,112820000078356;0,112567722690312;0,113271709706032;0,108230400456746;0,111217956219511;0,109923994798909;0,111472444348267;0,110110656158454;0,112888727374983;0,111199707501233;0,109694017725499;0,112839136586389;0,109609910364377;0,112792167074164;0,110333233338282;0,110135167029434;0,112188778249222;0,113018291061389;0,112306289423206;0,111589495782314;0,111045666274021;0,113860506788039;0,10949745503994;0,110873774728937;0,11333240190144;0,110499259087374;0,112621929694956;0,113247532492127;0,110628093678152;0,110187679978593;0,114191521274764;0,113594477552124;0,110576063073945;0,112924918088997;0,113345533158626;"1025_MaJo";"Syn"
"1027_ReEd";0,522295198931573;0,615761486167085;0,544079647619228;0,552354511945863;0,506573471294863;0,567970422196068;0,554377262948331;0,539095627331673;0,496108245158755;0,578690117762475;0,508253508030554;0,542485859695963;0,566990320581035;0,571912671783236;0,586673308928953;0,558762589283645;0,568402209111123;0,523406726889283;0,520394940389392;0,505365607220934;0,611152856177535;0,591451566180711;0,518112169598553;0,524468454897126;0,517321893601042;0,551364012539684;0,520712232899475;0,611350783910522;0,54700156122078;0,615912033567036;0,528445622202614;0,547425715514003;0,520270441188246;0,549368784055145;0,534597693205587;0,554577205325437;0,608488780946046;0,501845129146118;0,600005568697642;0,582137595954269;0,575790561539492;0,536146901731042;0,547131509343236;0,535913988261395;0,592702356302989;0,554653433770813;0,577692550614982;0,538057941941137;0,541067178416709;0,546653964982842;0,567385544511629;0,541085772664217;0,54761923508294;0,528200955194142;0,591667435552475;0,527143143420351;0,571440159166817;0,516452213388529;0,514380068967963;0,542354625056572;0,590208413451071;0,501397177914933;0,550708381953402;0,493364385854426;0,546681813092901;0,575076646361431;0,595448040175874;0,54994823406162;0,576409269728492;0,544689322751719;0,517280932801491;0,533801754040933;0,560143212490374;0,586368079837301;0,538953583717653;0,536212827545092;0,572035226734456;0,533957154277488;0,556847998364994;0,555641872834255;0,527756142100276;0,544390015933494;0,492757246740626;0,554502860959248;0,549889019726738;0,55134582086863;0,505313710156804;0,527102306802255;0,552017420598936;0,552426473764756;0,57067644555262;0,568434902581572;0,52333977605105;0,568279393617114;0,576929210330188;0,559280059200084;0,536118131805996;0,576817841589925;0,527134358050934;0,535062036941838;"1027_ReEd";"Syn"
"103_PG";0,259238636896928;0,269010145283799;0,271882398884496;0,270831935001698;0,266128756068891;0,266400549356066;0,260734535685481;0,265535606510867;0,258648808776351;0,274981463776407;0,268859089287801;0,275128520913929;0,264389981298397;0,275770422480894;0,267527942170886;0,260947872053451;0,259850321851077;0,265452222870199;0,265935058434256;0,266692032453675;0,265086956729764;0,262778146852922;0,26632678596905;0,270347725077743;0,262081631028769;0,267842653273031;0,276364125386812;0,266609028964689;0,268372073862242;0,271978303957758;0,265768771848366;0,270875188427302;0,267057625643119;0,263236885810798;0,26738230289904;0,271048557819522;0,272661058126855;0,265254370051933;0,264920379757651;0,268748361053945;0,271439921468284;0,267978274937185;0,266301919237267;0,260658143445761;0,270140982782193;0,2635686765134;0,27637061964558;0,270297197502515;0,275640842247704;0,262442357991252;0,263652790414431;0,262807867023992;0,267979074641008;0,275532763223463;0,260932007438916;0,259817668670494;0,272109145521533;0,259981327328628;0,2637327455626;0,266310418464632;0,26513692347993;0,265980194581832;0,264481377015318;0,271120378867067;0,266771745960233;0,263520738854658;0,267389116878744;0,264318686685817;0,265259432062289;0,262472742459851;0,2669481597367;0,267945886432157;0,262638127052657;0,268594743816447;0,268361802826917;0,266017001147189;0,265388598687362;0,263807279436238;0,271748098868179;0,263083356483482;0,262794670490686;0,270579706205157;0,273718603324397;0,262419625382329;0,263893607671687;0,261104480717223;0,264789351082199;0,271353955943795;0,261367170396877;0,264092260732907;0,266039846892566;0,260205734409377;0,266907255417974;0,272283848167605;0,270438137681571;0,262683451854029;0,266914428132249;0,27266347591193;0,266760729838717;0,266006069141233;"103_PG";"Syn"
"1107_GeBe";0,142159827114827;0,155285536697374;0,186335528491309;0,141472367062495;0,14455071598469;0,198407321889263;0,146335643363704;0,150617494338002;0,147516988228131;0,178120310392821;0,163089189596146;0,151019510348315;0,168568898639839;0,149718127700159;0,150229223520741;0,149620293535228;0,157376007486963;0,153659972239;0,151578578268074;0,143751582051427;0,147071214021944;0,184432237912112;0,142790998919875;0,177821193239221;0,152919915764992;0,151752485593631;0,181513792290859;0,138196933250682;0,137783115287617;0,176529653317998;0,163865137755953;0,154967254213217;0,149954146308157;0,141519187112975;0,160286732219801;0,120671921744058;0,149171536493072;0,135052879947973;0,189385906576597;0,143533131712802;0,161359429502737;0,171182059194565;0,14808061833788;0,155465300404094;0,14775207069362;0,134681383732578;0,147431831254132;0,146084803391182;0,159258249333134;0,131988718830956;0,153664846312325;0,140799966453139;0,191139248564411;0,148566512882273;0,146188943683413;0,185904712667393;0,16607499022707;0,140327841893767;0,183257463006242;0,133143530396994;0,155141269817447;0,190368924840767;0,179987336670935;0,155388246772605;0,159695910679374;0,127600209437301;0,104718474612203;0,150179252881624;0,168626261913231;0,145378348423255;0,170226658609394;0,116449790582053;0,156870250521258;0,176158274941484;0,157959758877345;0,161401633181103;0,145451801659002;0,167988791852233;0,152775343777599;0,158229714572809;0,148899100944487;0,12906503263115;0,148148319498915;0,149712704793681;0,153463506044115;0,162542532889323;0,120858614240388;0,156309384833699;0,150716936665258;0,153626141375353;0,158713833129298;0,150665782020495;0,144995954538275;0,12225532031207;0,161448106162501;0,139954179144757;0,129716823801865;0,157700741160746;0,139449205498383;0,146362883308463;"1107_GeBe";"Syn"
"1178_AlCa";0,4249890354438;0,445906103363237;0,439990064833318;0,446967045187104;0,452911208293498;0,436830728744324;0,449022074475273;0,443829761045987;0,448507345489005;0,449500101165112;0,430043379945492;0,451297243807901;0,439212058950718;0,437266374785543;0,454685721365185;0,43624577506138;0,456089482069258;0,445761872724087;0,432912503620752;0,424051441138851;0,457183780940716;0,408101732425339;0,443516474009208;0,44014467046266;0,41971533482549;0,452841693086775;0,435988185258336;0,458710850548266;0,45011328211192;0,441368215853694;0,425385541163529;0,440526922415391;0,46139214000787;0,464875605368793;0,469406563495516;0,439231519817626;0,450119388001818;0,459852161787371;0,45485968652624;0,43264979527108;0,457510974910814;0,428720646091513;0,45622656128519;0,44096982514071;0,451478151070638;0,447692581514384;0,466001536321987;0,421385515900409;0,428685193818795;0,444906376638845;0,470584165933982;0,421710490354893;0,437357380083356;0,469732812350369;0,443078660348312;0,444715127593986;0,430884205745904;0,450175528889155;0,443423513964537;0,427838281787981;0,460420135750427;0,442779792855653;0,435264774333673;0,421958147562841;0,420905418774337;0,432617951413045;0,41871881252347;0,446490929313514;0,442018682852425;0,436395391306864;0,455379254543785;0,422490944979333;0,450375632302015;0,423894187665532;0,446934445193386;0,443646758254268;0,41932203598067;0,440187148250749;0,461673977696397;0,448718367955447;0,433144885960929;0,43546931546465;0,436731877101797;0,411805829707487;0,423154223056451;0,432994233693748;0,442219317691678;0,424925788178261;0,44372452977361;0,461934802409602;0,467269926730433;0,459189962892623;0,448536583724409;0,438797497197431;0,456069835056094;0,420440778983048;0,457395755205183;0,431208568317241;0,443445057337475;0,452017445690235;"1178_AlCa";"Syn"
"13_vz";0,141242603654734;0,112618932115995;0,115575964928359;0,114061682630019;0,101356468784702;0,112258085288503;0,0961924043398036;0,115335640856206;0,103806371179146;0,107163560745539;0,107416384903697;0,110712028962032;0,113338921454682;0,115200698950277;0,123296230309669;0,114955770376705;0,109477239131123;0,120014380888593;0,111028869860332;0,110144527600095;0,108822698642892;0,116050631558759;0,11626401322303;0,109932240171919;0,117837032845092;0,112657720673093;0,115390629509915;0,113563594003519;0,116108148893124;0,113582616746354;0,116177451348007;0,101873839178627;0,109640041168159;0,104132986121508;0,0995206480827436;0,10378827554082;0,10179412962878;0,118347680322214;0,107907809484799;0,112083307533959;0,107962373191374;0,12016023578685;0,107633749929482;0,11231223070707;0,111576823839935;0,105894817385431;0,116321360786881;0,101505436615552;0,111620934350551;0,121608269867893;0,111739364906052;0,116198945290047;0,105517412589282;0,11221396034796;0,110893798315676;0,117535333694461;0,111139830076793;0,114445600050848;0,115045323930469;0,120715743300942;0,0988566569569221;0,11259088739325;0,110660053081378;0,106374156613518;0,127397045311655;0,107887821606998;0,109273053735226;0,113708218234862;0,113109240696544;0,110952852380691;0,113150770678766;0,114807774282298;0,115145350652826;0,122581397716221;0,115543508300315;0,102965483562578;0,107448693391661;0,116486719061235;0,102301918975498;0,112108160989168;0,105827187728217;0,113955966652312;0,119605676998432;0,116414503358828;0,110320046430521;0,120905630618893;0,118973577673175;0,120039380724257;0,105191187004626;0,110488823712581;0,110246743695882;0,105496990661703;0,113783125058869;0,111984295732023;0,114596773189272;0,117424516359354;0,11173628030504;0,105288883345638;0,110271757106735;0,109077575024115;"13_vz";"Syn"
"146_ChSa";0,185899882588939;0,221128055958717;0,195217872632556;0,210851508192691;0,176268924963901;0,190895147919442;0,200411404359848;0,21287986084679;0,191005107591292;0,171962279498979;0,200048348093811;0,190203426402778;0,204538594664327;0,194676779602634;0,173860279702686;0,225929185450106;0,234254483149381;0,16187058189233;0,186721451807302;0,198893229294104;0,240273798447477;0,200242314872122;0,211572682007163;0,168946695893501;0,233353814147544;0,180240346399421;0,197088103932798;0,175873344438928;0,193779698354551;0,186688678870536;0,17993015539668;0,214410053480171;0,211257792678144;0,185998329486528;0,172033352134011;0,184124007983112;0,201666511869826;0,216523067892231;0,211748242676561;0,182914968526944;0,249049848403371;0,158971571359994;0,205239376839933;0,18411628608345;0,178278812904911;0,219533148459365;0,22374199015839;0,191231468729163;0,213123770630413;0,197525594165694;0,200693655590704;0,210213645751654;0,171578680630312;0,193929748052783;0,198681246161998;0,187059890252558;0,234311251626302;0,165348597739466;0,179840178342151;0,151432483287155;0,16816169880172;0,1860916857917;0,193235903376028;0,183126495767833;0,165757694930428;0,195834471027324;0,200853634104476;0,229009893978484;0,215294225781978;0,19235368641419;0,224426317345327;0,194688873786872;0,189383464930586;0,149103807320212;0,190351841342503;0,213020441069868;0,209816487415305;0,182720478225724;0,212343263404332;0,219873799043561;0,214870183546474;0,23465797440618;0,179070928177182;0,159101138873516;0,191086403783462;0,201638084542575;0,158272585246459;0,204466415696528;0,180004754330606;0,19099941951695;0,192525867992063;0,208586036021015;0,165866573562308;0,176341889627931;0,189726820405384;0,215085632458736;0,219210977093338;0,197055654515112;0,244975321526939;0,185454982626875;"146_ChSa";"Ctl"
"147_MeWi";0,106452690732824;0,103577729091997;0,126804802838101;0,0971437697596166;0,078741196490969;0,119898025941988;0,107674816297485;0,109989070607411;0,0898548465125521;0,0966192088666426;0,0957054328835928;0,087996041463911;0,118165520002187;0,0915039144302831;0,109665418427745;0,0943943750859146;0,100830844685409;0,0777142491106912;0,109898885203636;0,120360287734743;0,116748241247604;0,11077096352327;0,122704035427739;0,100668399725189;0,126212805982481;0,107406545904371;0,112667963188856;0,0887591813967913;0,100098527981765;0,118302626810797;0,12096298703939;0,10371637324952;0,101016612941892;0,0814538073762415;0,0937625923952591;0,0840831062686251;0,106206402804776;0,0917585606583006;0,117371222572465;0,108342180994823;0,0737701657357004;0,0891113029705967;0,105527805327638;0,123163783946081;0,103512574169791;0,102701317157171;0,111895031680129;0,117660591474464;0,081606839681859;0,10508598983226;0,0922600972825833;0,125465375013679;0,113802613115116;0,108566611343119;0,106239256985684;0,128472375461778;0,103589703879221;0,110937196389668;0,0690309653857484;0,0976320923705223;0,094157573111519;0,0875324895275114;0,108584703106388;0,119797563904702;0,101663295711251;0,0810573999854535;0,0991641596087656;0,103069703145127;0,0984408716992008;0,0977730668263974;0,0888399814503285;0,109814834406977;0,100638661889258;0,105761532962814;0,105634334003847;0,132096107906785;0,109726180924765;0,117779038471628;0,0911773858076114;0,106022980709323;0,0888431485994302;0,131061432266049;0,090413742987851;0,109384329988648;0,0915610986500567;0,137842412127363;0,110920704786712;0,103200041006988;0,0892608994833286;0,0964480167739777;0,120300663424516;0,0996473318697047;0,110160212915257;0,105378329179772;0,112672022145635;0,0987763724915786;0,0988949843733296;0,096917877916994;0,0961216504647753;0,0960321066656961;"147_MeWi";"Ctl"
